record_name	protein_id	gene	locus_tag	EC_number	product	db_xref
NC_003197	NP_459063.1	citC2	STM0058	6.2.1.22	putative citrate lyase synthetase	GeneID:1251576
NC_003197	NP_459064.1	citD2	STM0059		citrate lyase acyl carrier protein	GeneID:1251577
NC_003197	NP_459065.1	citE2	STM0060	4.1.3.6	citrate (pro-3S)-lyase subunit beta	GeneID:1251578
NC_003197	NP_459066.1	citF2	STM0061		citrate lyase subunit alpha	GeneID:1251579
NC_003197	NP_459067.1	citX2	STM0062		holo-ACP synthase CitX	GeneID:1251580
NC_003197	NP_459068.1	citG2	STM0063		triphosphoribosyl-dephospho-CoA synthase CitG	GeneID:1251581
NC_003197	NP_459069.1	dapB	STM0064	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase	GeneID:1251582
NC_003197	NP_446529.1		STM0065		putative viral protein	GeneID:1251583
NC_003197	NP_459071.1	carA	STM0066	6.3.5.5	carbamoyl phosphate synthase small subunit	GeneID:1251584
NC_003197	NP_459072.1	carB	STM0067	6.3.5.5	carbamoyl phosphate synthase large subunit	GeneID:1251585
NC_003197	NP_459073.1	caiF	STM0068		CaiF/GrlA family transcriptional regulator	GeneID:1251586
NC_003197	NP_459074.1	caiE	STM0069		phenylacetic acid degradation protein PaaY	GeneID:1251587
NC_003197	NP_459075.1	caiD	STM0070	5.-.-.-	carnitinyl-CoA dehydratase	GeneID:1251588
NC_003197	NP_459076.1	caiC	STM0071	6.3.2.-	crotonobetaine/carnitine-CoA ligase	GeneID:1251589
NC_003197	NP_459077.1	caiB	STM0072		L-carnitine CoA-transferase	GeneID:1251590
NC_003197	NP_459078.1	caiA	STM0073	1.3.99.-	crotonobetainyl-CoA--carnitine CoA-transferase	GeneID:1251591
NC_003197	NP_459079.1	caiT	STM0074		L-carnitine:gamma-butyrobetaine antiporter	GeneID:1251592
NC_003197	NP_459080.1	fixA	STM0075		electron transfer flavoprotein	GeneID:1251593
NC_003197	NP_459081.1	fixB	STM0076		nitrogen fixation protein FixB	GeneID:1251594
NC_003197	NP_459082.1	fixC	STM0077		oxidoreductase	GeneID:1251595
NC_003197	NP_459083.1	fixX	STM0078		ferredoxin family protein	GeneID:1251596
NC_003197	NP_459084.1	yaaU	STM0079		MFS transporter	GeneID:1251597
NC_003197	NP_459085.1		STM0080		hypothetical protein	GeneID:1251598
NC_003197	NP_459086.1		STM0081		hypothetical protein	GeneID:1251599
NC_003197	NP_459087.1		STM0082		hypothetical protein	GeneID:1251600
NC_003197	NP_446547.1		STM0083		hypothetical protein	GeneID:1251601
NC_003197	NP_459089.1		STM0084		phosphatase	GeneID:1251602
NC_003197	NP_459090.1	yabF	STM0085	1.6.99.-	glutathione-regulated potassium-efflux system ancillary protein KefF	GeneID:1251603
NC_003197	NP_459091.1	kefC	STM0086		glutathione-regulated potassium-efflux system protein KefC	GeneID:1251604
NC_003197	NP_459092.1	folA	STM0087	1.5.1.3	dihydrofolate reductase	GeneID:1251605
NC_003197	NP_459093.1	apaH	STM0088	3.6.1.41	"""bis(5'-nucleosyl)-tetraphosphatase (symmetrical)"""	GeneID:1251606
NC_003197	NP_459094.1	apaG	STM0089		Co2+/Mg2+ efflux protein ApaG	GeneID:1251607
NC_003197	NP_459095.1	ksgA	STM0090	2.1.1.-	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase	GeneID:1251608
NC_003197	NP_459096.1	pdxA	STM0091		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	GeneID:1251609
NC_003197	NP_459097.1	surA	STM0092	5.2.1.8	peptidylprolyl isomerase SurA	GeneID:1251610
NC_003197	NP_459098.1	imp	STM0093		LPS assembly protein LptD	GeneID:1251611
NC_003197	NP_459099.1	djlA	STM0094		molecular chaperone DjlA	GeneID:1251612
NC_003197	NP_459100.1	rluA	STM0095	4.2.1.70	bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase RluA	GeneID:1251613
NC_003197	NP_459101.1	hepA	STM0096		RNA polymerase-binding ATPase	GeneID:1251614
NC_003197	NP_459102.1	polB	STM0097	2.7.7.7	DNA polymerase II	GeneID:1251615
NC_003197	NP_459103.1		STM0098		putative secreted protein	GeneID:1251616
NC_003197	NP_446563.1		STM0099		hypothetical protein	GeneID:1251617
NC_003197	NP_459105.1		STM0100		DUF4751 domain-containing protein	GeneID:1251618
NC_003197	NP_459106.1	araD	STM0101	5.1.3.4	L-ribulose-5-phosphate 4-epimerase	GeneID:1251619
NC_003197	NP_459107.1	araA	STM0102	5.3.1.4	L-arabinose isomerase	GeneID:1251620
NC_003197	NP_459108.1	araB	STM0103	2.7.1.16	ribulokinase	GeneID:1251621
NC_003197	NP_459109.1	araC	STM0104		DNA-binding transcriptional regulator AraC	GeneID:1251622
NC_003197	NP_459110.1	yabI	STM0105		hypothetical protein	GeneID:1251623
NC_003197	NP_459111.1	yabJ	STM0106		thiamine ABC transporter ATP-binding protein	GeneID:1251624
NC_003197	NP_459112.1	yabK	STM0107		thiamine/thiamine pyrophosphate ABC transporter permease ThiP	GeneID:1251625
NC_003197	NP_459113.1	tbpA	STM0108		thiamine ABC transporter substrate binding subunit	GeneID:1251626
NC_003197	NP_459114.1	yabN	STM0109		transcriptional regulator SgrR	GeneID:1251627
NC_003197	NP_459115.1	leuD	STM0110	4.2.1.33	3-isopropylmalate dehydratase small subunit	GeneID:1251628
NC_003197	NP_459116.1	leuC	STM0111	4.2.1.33	3-isopropylmalate dehydratase large subunit	GeneID:1251629
NC_003197	NP_459117.1	leuB	STM0112	1.1.1.85	3-isopropylmalate dehydrogenase	GeneID:1251630
NC_003197	NP_459118.1	leuA	STM0113	2.3.3.13	2-isopropylmalate synthase	GeneID:1251631
NC_003197	NP_459119.1	leuL	STM0114		leu operon leader peptide	GeneID:1251632
NC_003197	NP_459120.1	leuO	STM0115		transcriptional regulator LeuO	GeneID:1251633
NC_003197	NP_459121.1	ilvI	STM0116	4.1.3.-	valine sensitive acetolactate synthase III, large subunit	GeneID:1251634
NC_003197	NP_459122.1	ilvH	STM0117	4.1.3.-	acetolactate synthase small subunit	GeneID:1251635
NC_003197	NP_459123.1	fruR	STM0118		DNA-binding transcriptional regulator FruR	GeneID:1251636
NC_003197	NP_459124.1	yabB	STM0119		cell division/cell wall cluster transcriptional repressor MraZ	GeneID:1251637
NC_003197	NP_459125.1	yabC	STM0120		16S rRNA (cytosine(1402)-N(4))-methyltransferase	GeneID:1251638
NC_003197	NP_459126.1	ftsL	STM0121		cell division protein FtsL	GeneID:1251639
NC_003197	NP_459127.1	ftsI	STM0122		peptidoglycan glycosyltransferase FtsI	GeneID:1251640
NC_003197	NP_459128.1	murE	STM0123	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	GeneID:1251641
NC_003197	NP_459129.1	murF	STM0124		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	GeneID:1251642
NC_003197	NP_459130.1	mraY	STM0125	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide- transferase	GeneID:1251643
NC_003197	NP_459131.1	murD	STM0126	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	GeneID:1251644
NC_003197	NP_459132.1	ftsW	STM0127		cell division protein FtsW	GeneID:1251645
NC_003197	NP_459133.1	murG	STM0128	2.4.1.-	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	GeneID:1251646
NC_003197	NP_459134.1	murC	STM0129	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase	GeneID:1251647
NC_003197	NP_459135.1	ddlB	STM0130	6.3.2.4	D-alanine--D-alanine ligase	GeneID:1251648
NC_003197	NP_459136.1	ftsQ	STM0131		cell division protein FtsQ	GeneID:1251649
NC_003197	NP_459137.1	ftsA	STM0132		cell division protein FtsA	GeneID:1251650
NC_003197	NP_459138.1	ftsZ	STM0133		cell division protein FtsZ	GeneID:1251651
NC_003197	NP_459139.1	lpxC	STM0134	3.5.1.-	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	GeneID:1251652
NC_003197	NP_459140.3	yacA	STM0135		putative inner membrane protein	GeneID:1251653
NC_003197	NP_459141.1	secA	STM0136		preprotein translocase subunit SecA	GeneID:1251654
NC_003197	NP_459142.1	mutT	STM0137	3.6.1.-	8-oxo-dGTP diphosphatase	GeneID:1251655
NC_003197	NP_459143.1	yacG	STM0138		DNA gyrase inhibitor YacG	GeneID:1251656
NC_003197	NP_459144.1	yacF	STM0139		cell division protein ZapD	GeneID:1251657
NC_003197	NP_459145.1	yacE	STM0140		dephospho-CoA kinase	GeneID:1251658
NC_003197	NP_459146.1	guaC	STM0141	1.7.1.7	GMP reductase	GeneID:1251659
NC_003197	NP_459147.1	hofC	STM0142		type IV pilin biogenesis protein	GeneID:1251660
NC_003197	NP_459148.1	hofB	STM0143		type II secretion system protein GspE	GeneID:1251661
NC_003197	NP_459149.1	ppdD	STM0144		prepilin peptidase-dependent pilin	GeneID:1251662
NC_003197	NP_459150.1	nadC	STM0145	2.4.2.19	nicotinate-nucleotide diphosphorylase	GeneID:1251663
NC_003197	NP_459151.1	ampD	STM0146		N-acetylmuramoyl-L-alanine amidase	GeneID:1251664
NC_003197	NP_459152.1	ampE	STM0147		regulatory signaling modulator protein AmpE	GeneID:1251665
NC_003197	NP_459153.1		STM0148		alpha-N-arabinofuranosidase	GeneID:1251666
NC_003197	NP_459154.1		STM0149		MFS transporter	GeneID:1251667
NC_003197	NP_459155.1	aroP	STM0150		APC family aromatic amino acid transporter	GeneID:1251668
NC_003197	NP_459156.1	pdhR	STM0151		transcriptional regulator PdhR	GeneID:1251669
NC_003197	NP_459157.1	aceE	STM0152	1.2.4.1	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	GeneID:1251670
NC_003197	NP_459158.2	aceF	STM0153	2.3.1.12	pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase	GeneID:1251671
NC_003197	NP_459159.1	lpdA	STM0154	1.8.1.4	dihydrolipoyl dehydrogenase	GeneID:1251672
NC_003197	NP_459160.1		STM0155		hypothetical protein	GeneID:1251673
NC_003197	NP_459161.1		STM0156		hypothetical protein	GeneID:1251674
NC_003197	NP_459162.2	yacH	STM0157		hypothetical protein	GeneID:1251675
NC_003197	NP_459163.1	acnB	STM0158	4.2.1.3	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	GeneID:1251676
NC_003197	NP_459164.1		STM0159		putative restriction endonuclease	GeneID:1251677
NC_003197	NP_459165.1	yacL	STM0160		UPF0231 family protein	GeneID:1251678
NC_003197	NP_459166.1	kdgT	STM0161		2-keto-3-deoxygluconate permease	GeneID:1251679
NC_003197	NP_459167.1		STM0162		hypothetical protein	GeneID:1251680
NC_003197	NP_459168.1		STM0163		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	GeneID:1251681
NC_003197	NP_459169.1		STM0164		DeoR family transcriptional regulator	GeneID:1251682
NC_003197	NP_459170.1	speD	STM0165	4.1.1.50	S-adenosylmethionine decarboxylase	GeneID:1251683
NC_003197	NP_459171.1	speE	STM0166	2.5.1.16	putrescine aminopropyltransferase	GeneID:1251684
NC_003197	NP_459172.1	yacC	STM0167		hypothetical protein	GeneID:1251685
NC_003197	NP_459173.1	cueO	STM0168		putative multicopper oxidase	GeneID:1251686
NC_003197	NP_459174.1	gcd	STM0169	1.1.5.2	pyrroloquinoline quinone-dependent dehydrogenase	GeneID:1251687
NC_003197	NP_459175.1	hpt	STM0170	2.4.2.8	hypoxanthine phosphoribosyltransferase	GeneID:1251688
NC_003197	NP_459176.1	yadF	STM0171	4.2.1.1	carbonate dehydratase	GeneID:1251689
NC_003197	NP_459177.1	yadG	STM0172		multidrug ABC transporter ATP-binding protein	GeneID:1251690
NC_003197	NP_459178.1	yadH	STM0173		ABC transporter permease	GeneID:1251691
NC_003197	NP_459179.1	stiH	STM0174		fimbrial protein StiH	GeneID:1251692
NC_003197	NP_459180.1	stiC	STM0175		fimbrial assembly protein	GeneID:1251693
NC_003197	NP_459181.1	stiB	STM0176		long polar fimbrial chaperone LpfB	GeneID:1251694
NC_003197	NP_459182.1	stiA	STM0177		fimbrial protein StiA	GeneID:1251695
NC_003197	NP_459183.1	yadI	STM0178	2.7.1.191	PTS sugar transporter subunit IIA	GeneID:1251696
NC_003197	NP_459184.1	yadE	STM0179		hypothetical protein	GeneID:1251697
NC_003197	NP_459185.1	panD	STM0180	4.1.1.11	aspartate 1-decarboxylase	GeneID:1251698
NC_003197	NP_459186.1	panC	STM0181	6.3.2.1	pantoate--beta-alanine ligase	GeneID:1251699
NC_003197	NP_459187.1	panB	STM0182	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase	GeneID:1251700
NC_003197	NP_459188.1	folK	STM0183	2.7.6.3	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	GeneID:1251701
NC_003197	NP_459189.1	pcnB	STM0184	2.7.7.19	polynucleotide adenylyltransferase	GeneID:1251702
NC_003197	NP_459190.3	yadB	STM0185		putative glutamyl t-RNA synthetase	GeneID:1251703
NC_003197	NP_459191.1	dksA	STM0186		RNA polymerase-binding protein DksA	GeneID:1251704
NC_003197	NP_459192.1	sfsA	STM0187		sugar fermentation stimulation protein SfsA	GeneID:1251705
NC_003197	NP_459193.1	ligT	STM0188	6.5.1.-	"""2'-5' RNA ligase"""	GeneID:1251706
NC_003197	NP_459194.1	hrpB	STM0189		ATP-dependent helicase	GeneID:1251707
NC_003197	NP_459195.1	mrcB	STM0190		penicillin-binding protein 1B	GeneID:1251708
NC_003197	NP_459196.1	fhuA	STM0191		ferrichrome porin FhuA	GeneID:1251709
NC_003197	NP_459197.1	fhuC	STM0192		iron-hydroxamate transporter ATP-binding subunit	GeneID:1251710
NC_003197	NP_459198.1	fhuD	STM0193		iron-hydroxamate transporter substrate-binding subunit	GeneID:1251711
NC_003197	NP_459199.1	fhuB	STM0194		Fe3+-hydroxamate ABC transporter permease FhuB	GeneID:1251712
NC_003197	NP_459200.1	stfA	STM0195		fimbrial protein	GeneID:1251713
NC_003197	NP_459201.1	stfC	STM0196		outer membrane usher protein	GeneID:1251714
NC_003197	NP_459202.1	stfD	STM0197		fimbrial protein	GeneID:1251715
NC_003197	NP_459203.1	stfE	STM0198		fimbrial protein	GeneID:1251716
NC_003197	NP_459204.1	stfF	STM0199		fimbrial protein	GeneID:1251717
NC_003197	NP_459205.1	stfG	STM0200		fimbrial protein	GeneID:1251718
NC_003197	NP_459206.1		STM0201		hypothetical protein	GeneID:1251719
NC_003197	NP_459207.1	hemL	STM0202	5.4.3.8	glutamate-1-semialdehyde-2,1-aminomutase	GeneID:1251720
NC_003197	NP_459208.1	yadQ	STM0203		chloride channel protein	GeneID:1251721
NC_003197	NP_459209.3	yadR	STM0204		putative HesB-like domain protein	GeneID:1251722
NC_003197	NP_459210.1	yadS	STM0205		hypothetical protein	GeneID:1251723
NC_003197	NP_459211.1	btuF	STM0206		vitamin B12 ABC transporter substrate-binding protein BtuF	GeneID:1251724
NC_003197	NP_459212.1	pfs	STM0207	3.2.2.16', '3.2.2.9	"""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"""	GeneID:1251725
NC_003197	NP_459213.1	dgt	STM0208	3.1.5.1	dGTPase	GeneID:1251726
NC_003197	NP_459214.1	htrA	STM0209	3.4.21.-	serine endoprotease	GeneID:1251727
NC_003197	NP_459215.1	cdaR	STM0210		carbohydrate diacid regulon transcriptional regulator CdaR	GeneID:1251728
NC_003197	NP_459216.1	yaeH	STM0211		hypothetical protein	GeneID:1251729
NC_003197	NP_459217.1		STM0212		MFS transporter	GeneID:1251730
NC_003197	NP_459218.1	dapD	STM0213	2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	GeneID:1251731
NC_003197	NP_459219.1	glnD	STM0214	2.7.7.59	[protein-PII] uridylyltransferase	GeneID:1251732
NC_003197	NP_459220.1	map	STM0215	3.4.11.18	type I methionyl aminopeptidase	GeneID:1251733
NC_003197	NP_459221.1	rpsB	STM0216		30S ribosomal protein S2	GeneID:1251734
NC_003197	NP_459222.1	tsf	STM0217		translation elongation factor Ts	GeneID:1251735
NC_003197	NP_459223.1	pyrH	STM0218	2.7.4.-	UMP kinase	GeneID:1251736
NC_003197	NP_459224.1	frr	STM0219		ribosome recycling factor	GeneID:1251737
NC_003197	NP_459225.1	dxr	STM0220	1.1.1.-	1-deoxy-D-xylulose-5-phosphate reductoisomerase	GeneID:1251738
NC_003197	NP_459226.1	uppS	STM0221	2.5.1.31	(2E,6E)-farnesyl- diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase	GeneID:1251739
NC_003197	NP_459227.1	cdsA	STM0222	2.7.7.41	phosphatidate cytidylyltransferase	GeneID:1251740
NC_003197	NP_459228.1	yaeL	STM0223		RIP metalloprotease RseP	GeneID:1251741
NC_003197	NP_459229.1	yaeT	STM0224		outer membrane protein assembly factor BamA	GeneID:1251742
NC_003197	NP_459230.1	hlpA	STM0225		molecular chaperone	GeneID:1251743
NC_003197	NP_459231.1	lpxD	STM0226	2.3.1.-	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	GeneID:1251744
NC_003197	NP_459232.1	fabZ	STM0227	4.2.1.-	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	GeneID:1251745
NC_003197	NP_459233.1	lpxA	STM0228	2.3.1.129	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	GeneID:1251746
NC_003197	NP_459234.1	lpxB	STM0229	2.4.1.182	lipid-A-disaccharide synthase	GeneID:1251747
NC_003197	NP_459235.1	rnhB	STM0230	3.1.26.4	ribonuclease HII	GeneID:1251748
NC_003197	NP_459236.1	dnaE	STM0231	2.7.7.7	DNA polymerase III subunit alpha	GeneID:1251749
NC_003197	NP_459237.1	accA	STM0232	6.4.1.2	acetyl-CoA carboxylase carboxyltransferase subunit alpha	GeneID:1251750
NC_003197	NP_459238.1		STM0233		chitinase	GeneID:1251751
NC_003197	NP_459239.1	ldcC	STM0234	4.1.1.18	lysine decarboxylase LdcC	GeneID:1251752
NC_003197	NP_459240.1	yaeR	STM0235		VOC family protein	GeneID:1251753
NC_003197	NP_459241.1	mesJ	STM0236		tRNA lysidine(34) synthetase TilS	GeneID:1251754
NC_003197	NP_459242.1	rof	STM0237		Rho-binding antiterminator	GeneID:1251755
NC_003197	NP_459243.1	yaeP	STM0238		putative cytoplasmic protein	GeneID:1251756
NC_003197	NP_459244.1	yaeQ	STM0239		hypothetical protein	GeneID:1251757
NC_003197	NP_459245.1	yaeJ	STM0240		aminoacyl-tRNA hydrolase	GeneID:1251758
NC_003197	NP_459246.1	proS	STM0242	6.1.1.15	proline--tRNA ligase	GeneID:1251760
NC_003197	NP_459247.1	yaeB	STM0243		tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO	GeneID:1251761
NC_003197	NP_459248.1	rcsF	STM0244		Rcs stress response system protein RcsF	GeneID:1251762
NC_003197	NP_459249.1	yaeC	STM0245		methionine ABC transporter substrate-binding protein MetQ	GeneID:1251763
NC_003197	NP_459250.1	yaeE	STM0246		DL-methionine transporter permease subunit	GeneID:1251764
NC_003197	NP_459251.1	abc	STM0247		D-methionine ABC transporter, ATP-binding protein	GeneID:1251765
NC_003197	NP_459252.1	yaeD	STM0248		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	GeneID:1251766
NC_003197	NP_459253.1	yafB	STM0255	1.1.1.-	2,5-didehydrogluconate reductase B	GeneID:1251773
NC_003197	NP_459254.1	yafC	STM0256		putative LysR family transcriptional regulator	GeneID:1251774
NC_003197	NP_459255.1		STM0257		MFS sugar transporter	GeneID:1251775
NC_003197	NP_459256.1	yafD	STM0258		putative cytoplasmic protein	GeneID:1251776
NC_003197	NP_459257.1	yafE	STM0259		SAM-dependent methyltransferase	GeneID:1251777
NC_003197	NP_459258.1	dniR	STM0260	3.2.1.-	murein transglycosylase D	GeneID:1251778
NC_003197	NP_459259.1	gloB	STM0261	3.1.2.6	hydroxyacylglutathione hydrolase	GeneID:1251779
NC_003197	NP_459260.1	yafS	STM0262		putative SAM-dependent methyltransferase	GeneID:1251780
NC_003197	NP_459261.1	rnhA	STM0263	3.1.26.4	ribonuclease HI	GeneID:1251781
NC_003197	NP_459262.1	dnaQ	STM0264	2.7.7.7	DNA polymerase III, epsilon subunit	GeneID:1251782
NC_003197	NP_459263.1		STM0266		hypothetical protein	GeneID:1251784
NC_003197	NP_459264.1		STM0267		sciB domain protein	GeneID:1251785
NC_003197	NP_459265.1		STM0268		type VI secretion protein	GeneID:1251786
NC_003197	NP_459266.1		STM0269		hypothetical protein	GeneID:1251787
NC_003197	NP_459267.1		STM0270		impE family protein	GeneID:1251788
NC_003197	NP_459268.1		STM0271		hypothetical protein	GeneID:1251789
NC_003197	NP_459269.1		STM0272		ClpV1 family T6SS ATPase	GeneID:1251790
NC_003197	NP_459270.1		STM0273		type VI secretion system-associated protein	GeneID:1251791
NC_003197	NP_459271.1		STM0274		EvpB family type VI secretion protein	GeneID:1251792
NC_003197	NP_459272.1		STM0274A		invasol SirA	GeneID:1251793
NC_003197	NP_459273.3		STM0275		putative cytoplasmic protein	GeneID:1251794
NC_003197	NP_459274.1		STM0276		Hcp1 family type VI secretion system effector	GeneID:1251795
NC_003197	NP_459275.1		STM0277		hypothetical protein	GeneID:1251796
NC_003197	NP_459276.1		STM0278		putative periplasmic protein	GeneID:1251797
NC_003197	NP_459277.1		STM0279		Hcp1 family type VI secretion system effector	GeneID:1251798
NC_003197	NP_459278.1		STM0280		type VI secretion system-associated lipoprotein	GeneID:1251799
NC_003197	NP_459279.1		STM0281		type VI secretion system-associated protein	GeneID:1251800
NC_003197	NP_459280.1		STM0282		hypothetical protein	GeneID:1251801
NC_003197	NP_459281.1		STM0283		hypothetical protein	GeneID:1251802
NC_003197	NP_459282.1		STM0284		putative shiga-like toxin A subunit	GeneID:1251803
NC_003197	NP_459283.1		STM0285		hypothetical protein	GeneID:1251804
NC_003197	NP_459284.1		STM0286		hypothetical protein	GeneID:1251805
NC_003197	NP_459285.1		STM0287		putative periplasmic protein	GeneID:1251806
NC_003197	NP_459286.1		STM0288		putative cytoplasmic protein	GeneID:1251807
NC_003197	NP_459287.1		STM0289		type VI secretion protein Vgr	GeneID:1251808
NC_003197	NP_459288.1		STM0290		hypothetical protein	GeneID:1251809
NC_003197	NP_459289.1		STM0291		putative RHS-family protein	GeneID:1251810
NC_003197	NP_459290.1		STM0292		putative RHS-family protein	GeneID:1251811
